x:117.20,y:240.20,z:503.20,t:294069
x:-307.20,y:-894.60,z:288.60,t:294073
x:433.40,y:279.60,z:-615.40,t:294077
x:-195.40,y:-46.00,z:558.40,t:294081
x:-193.80,y:-393.00,z:-275.60,t:294085
x:318.20,y:694.80,z:-227.80,t:294089
x:-345.80,y:-206.60,z:499.60,t:294093
x:208.00,y:-74.60,z:-429.20,t:294097
x:188.40,y:296.20,z:285.80,t:294102
x:-420.80,y:-614.20,z:325.40,t:294106
x:171.00,y:225.80,z:-418.60,t:294110
x:-110.60,y:367.40,z:295.20,t:294114
x:-108.00,y:-585.80,z:4.80,t:294118
x:667.00,y:315.40,z:-162.80,t:294121
x:-207.20,y:61.00,z:338.40,t:294125
x:-186.20,y:-704.80,z:-36.00,t:294129
x:269.60,y:815.40,z:-426.00,t:294133
x:-515.80,y:-274.20,z:228.20,t:294137
x:246.80,y:-179.20,z:-185.00,t:294141
x:86.00,y:849.20,z:87.80,t:294146
x:-259.20,y:-821.40,z:179.60,t:294150
x:519.80,y:123.20,z:-281.80,t:294154
x:-115.80,y:-75.40,z:221.00,t:294158
x:-369.00,y:-458.60,z:-271.40,t:294162
x:-28.00,y:735.60,z:-186.00,t:294165
x:-546.80,y:66.40,z:276.80,t:294169
x:312.20,y:6.00,z:-463.40,t:294173
x:110.60,y:789.80,z:125.20,t:294177
x:-423.40,y:-239.80,z:363.40,t:294181
x:219.40,y:398.40,z:-592.80,t:294185
x:-235.80,y:569.80,z:339.40,t:294190
x:-266.40,y:-410.40,z:-171.00,t:294194
x:384.20,y:460.00,z:-295.60,t:294198
x:-264.00,y:-231.80,z:613.60,t:294202
x:178.20,y:-466.20,z:-194.20,t:294206
x:451.40,y:88.20,z:159.00,t:294210
x:-303.60,y:-600.40,z:481.40,t:294213
x:183.00,y:121.40,z:-506.60,t:294217
x:-109.20,y:484.40,z:161.80,t:294221
x:-193.40,y:-404.00,z:-124.20,t:294225
x:354.60,y:307.20,z:-211.40,t:294230
x:378.40,y:177.80,z:-219.20,t:294234
x:-257.20,y:285.60,z:332.00,t:294238
x:-15.00,y:-276.60,z:-291.20,t:294242
x:418.00,y:796.80,z:21.40,t:294246
x:-543.20,y:60.60,z:399.60,t:294250
x:208.80,y:-416.80,z:-504.00,t:294254
x:41.40,y:142.80,z:145.00,t:294258
x:-390.20,y:-819.60,z:189.40,t:294262
x:619.00,y:24.40,z:-352.80,t:294265
x:-199.60,y:-35.20,z:591.20,t:294269
x:-144.40,y:-533.00,z:-82.60,t:294274
x:345.00,y:230.20,z:-57.60,t:294278
x:-483.00,y:-513.40,z:773.20,t:294282
x:269.20,y:-249.80,z:-543.40,t:294286
