x:153.80,y:841.40,z:-163.40,t:36296
x:718.80,y:105.60,z:176.60,t:36300
x:578.00,y:-652.60,z:640.20,t:36304
x:275.60,y:-688.80,z:605.40,t:36308
x:-36.60,y:-156.00,z:252.00,t:36313
x:-251.80,y:301.80,z:-156.80,t:36316
x:-426.20,y:380.60,z:-520.20,t:36320
x:-279.00,y:288.80,z:-540.80,t:36324
x:-132.20,y:45.80,z:-391.40,t:36328
x:171.60,y:88.80,z:-174.40,t:36332
x:103.20,y:102.00,z:42.80,t:36336
x:-49.40,y:130.20,z:313.00,t:36340
x:-227.20,y:385.40,z:499.80,t:36343
x:-352.40,y:634.60,z:266.20,t:36347
x:-227.60,y:523.60,z:-12.40,t:36352
x:-566.60,y:638.40,z:512.40,t:36356
x:-343.60,y:759.80,z:299.20,t:36360
x:-14.80,y:688.40,z:-95.80,t:36364
