x:-27.00,y:50.00,z:-31.00,t:6372
x:62.00,y:-17.00,z:-2.00,t:6377
x:-55.00,y:48.00,z:-4.00,t:6381
x:-12.00,y:63.00,z:35.00,t:6386
x:43.00,y:49.00,z:15.00,t:6390
x:-8.00,y:-82.00,z:109.00,t:6395
x:-19.00,y:37.00,z:23.00,t:6400
x:-37.00,y:-15.00,z:68.00,t:6405
x:-1.00,y:-97.00,z:31.00,t:6409
x:90.00,y:-72.00,z:-81.00,t:6413
x:37.00,y:-66.00,z:-7.00,t:6418
x:37.00,y:88.00,z:98.00,t:6422
x:31.00,y:5.00,z:-8.00,t:6427
x:9.00,y:41.00,z:-143.00,t:6431
x:-81.00,y:112.00,z:85.00,t:6436
x:96.00,y:-73.00,z:-17.00,t:6440
x:-53.00,y:-83.00,z:-23.00,t:6446
x:10.00,y:210.00,z:-59.00,t:6450
x:108.00,y:-52.00,z:-1.00,t:6455
x:-6.00,y:-60.00,z:31.00,t:6459
x:-65.00,y:133.00,z:-24.00,t:6464
x:-36.00,y:-13.00,z:19.00,t:6468
x:18.00,y:-89.00,z:-48.00,t:6473
x:-63.00,y:70.00,z:25.00,t:6477
x:8.00,y:38.00,z:77.00,t:6482
x:4.00,y:-8.00,z:85.00,t:6487
x:-27.00,y:20.00,z:5.00,t:6492
x:60.00,y:-25.00,z:-42.00,t:6496
x:-49.00,y:73.00,z:-10.00,t:6501
x:-46.00,y:65.00,z:42.00,t:6505
x:41.00,y:-101.00,z:-31.00,t:6510
x:67.00,y:-27.00,z:-103.00,t:6514
x:-23.00,y:26.00,z:80.00,t:6519
x:-5.00,y:-80.00,z:-13.00,t:6523
x:41.00,y:8.00,z:-198.00,t:6529
x:-80.00,y:88.00,z:-62.00,t:6533
x:5.00,y:-15.00,z:10.00,t:6537
x:52.00,y:-24.00,z:26.00,t:6542
x:6.00,y:187.00,z:-52.00,t:6546
x:82.00,y:-85.00,z:45.00,t:6551
x:-40.00,y:-114.00,z:8.00,t:6555
x:-49.00,y:186.00,z:-80.00,t:6560
x:0.00,y:-141.00,z:47.00,t:6564
x:39.00,y:-114.00,z:-4.00,t:6569
x:9.00,y:-49.00,z:-105.00,t:6574
x:18.00,y:57.00,z:7.00,t:6579
x:39.00,y:21.00,z:102.00,t:6583
x:6.00,y:-18.00,z:-9.00,t:6588
x:33.00,y:-66.00,z:-46.00,t:6592
x:6.00,y:31.00,z:47.00,t:6597
x:-2.00,y:-29.00,z:-52.00,t:6601
x:13.00,y:-22.00,z:-106.00,t:6606
x:-32.00,y:77.00,z:-13.00,t:6610
x:54.00,y:-34.00,z:-26.00,t:6616
x:45.00,y:-40.00,z:-39.00,t:6620
x:-50.00,y:67.00,z:-30.00,t:6625
x:47.00,y:-105.00,z:-10.00,t:6629
x:29.00,y:-125.00,z:92.00,t:6634
x:-25.00,y:-5.00,z:-1.00,t:6638
x:-47.00,y:22.00,z:5.00,t:6643
x:-10.00,y:-29.00,z:54.00,t:6647
x:-2.00,y:107.00,z:-46.00,t:6652
x:45.00,y:103.00,z:24.00,t:6657
x:57.00,y:-19.00,z:-16.00,t:6662
x:9.00,y:10.00,z:-101.00,t:6666
x:-44.00,y:11.00,z:10.00,t:6671
x:-9.00,y:55.00,z:86.00,t:6675
x:42.00,y:34.00,z:-8.00,t:6679
x:70.00,y:-140.00,z:-29.00,t:6684
x:-4.00,y:-4.00,z:70.00,t:6688
x:8.00,y:-7.00,z:-30.00,t:6693
x:42.00,y:-94.00,z:-81.00,t:6697
x:-31.00,y:71.00,z:-15.00,t:6703
x:55.00,y:-96.00,z:-48.00,t:6707
x:-31.00,y:-44.00,z:36.00,t:6712
x:-59.00,y:158.00,z:20.00,t:6716
x:35.00,y:-57.00,z:9.00,t:6721
x:46.00,y:-98.00,z:95.00,t:6725
x:-51.00,y:61.00,z:15.00,t:6730
x:-41.00,y:-65.00,z:-51.00,t:6734
x:-2.00,y:-217.00,z:-6.00,t:6739
x:-25.00,y:28.00,z:-56.00,t:6744
x:-26.00,y:94.00,z:4.00,t:6749
x:83.00,y:6.00,z:54.00,t:6753
x:-28.00,y:-40.00,z:13.00,t:6758
x:-20.00,y:8.00,z:0.00,t:6762
x:-79.00,y:-16.00,z:-8.00,t:6766
x:18.00,y:-67.00,z:-11.00,t:6771
x:39.00,y:-7.00,z:-108.00,t:6775
x:65.00,y:-25.00,z:-39.00,t:6780
x:-26.00,y:-6.00,z:-2.00,t:6785
x:21.00,y:4.00,z:-75.00,t:6790
x:0.00,y:68.00,z:-108.00,t:6794
x:-47.00,y:86.00,z:57.00,t:6799
x:-31.00,y:30.00,z:75.00,t:6803
x:26.00,y:-45.00,z:-124.00,t:6808
x:-37.00,y:65.00,z:5.00,t:6812
